geohash,major_category_weekday,major_category_holiday,major_category_morning,major_category_afternoon,major_category_evening,major_category_night
dr5rkr,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Residential
dr5rks,Commercial/Services,Commercial/Services,Healthcare & Welfare,Commercial/Services,Commercial/Services,Commercial/Services
dr5rkt,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rku,Commercial/Services,Commercial/Services,Healthcare & Welfare,Commercial/Services,Commercial/Services,Commercial/Services
dr5rkv,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5rkw,Transportation,Commercial/Services,Transportation,Transportation,Transportation,Transportation
dr5rkx,Transportation,Culture & Leisure,Transportation,Culture & Leisure,Commercial/Services,Transportation
dr5rky,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5rkz,Residential,Residential,Residential,Commercial/Services,Residential,Residential
dr5rm0,Residential,Residential,Residential,Residential,Residential,Residential
dr5rm1,Residential,Residential,Unknown,Unknown,Residential,Residential
dr5rm2,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Educational,Healthcare & Welfare,Healthcare & Welfare
dr5rm3,Residential,Commercial/Services,Residential,Commercial/Services,Residential,Commercial/Services
dr5rm5,Transportation,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Transportation
dr5rm6,Residential,Commercial/Services,Residential,Commercial/Services,Commercial/Services,Residential
dr5rm7,Transportation,Transportation,Transportation,Residential,Residential,Transportation
dr5rmd,Residential,Residential,Residential,Unknown,Unknown,Residential
dr5rme,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rmf,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rmh,Residential,Commercial/Services,Culture & Leisure,Commercial/Services,Residential,Residential
dr5rmj,Transportation,Transportation,Transportation,Transportation,Transportation,Commercial/Services
dr5rmm,Residential,Commercial/Services,Residential,Commercial/Services,Commercial/Services,Commercial/Services
dr5rmn,Commercial/Services,Commercial/Services,Unknown,Unknown,Commercial/Services,Commercial/Services
dr5rmp,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rmq,Residential,Residential,Residential,Residential,Residential,Residential
dr5rms,Residential,Residential,Residential,Residential,Residential,Residential
dr5rmt,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5rmu,Commercial/Services,Commercial/Services,Residential,Commercial/Services,Commercial/Services,Commercial/Services
dr5rmv,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Residential,Commercial/Services
dr5rmw,Residential,Residential,Residential,Residential,Residential,Residential
dr5rmx,Residential,Residential,Residential,Residential,Residential,Residential
dr5rmz,Residential,Residential,Unknown,Residential,Residential,Residential
dr5rn1,Healthcare & Welfare,Healthcare & Welfare,Unknown,Unknown,Healthcare & Welfare,Unknown
dr5rnn,Transportation,Commercial/Services,Transportation,Transportation,Transportation,Commercial/Services
dr5rnp,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Unknown
dr5rnq,Residential,Residential,Residential,Residential,Residential,Residential
dr5rnr,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rnt,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Unknown
dr5rnw,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rnx,Residential,Residential,Residential,Culture & Leisure,Culture & Leisure,Residential
dr5rny,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Unknown
dr5rq0,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5rq1,Residential,Residential,Residential,Residential,Residential,Residential
dr5rq2,Commercial/Services,Transportation,Commercial/Services,Transportation,Commercial/Services,Commercial/Services
dr5rq4,Transportation,Residential,Residential,Transportation,Residential,Transportation
dr5rq5,Residential,Residential,Unknown,Residential,Residential,Residential
dr5rq7,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5rq8,Residential,Residential,Residential,Residential,Residential,Residential
dr5rqf,Residential,Residential,Residential,Residential,Residential,Residential
dr5rqg,Residential,Commercial/Services,Commercial/Services,Residential,Commercial/Services,Commercial/Services
dr5rqk,Transportation,Healthcare & Welfare,Transportation,Transportation,Transportation,Healthcare & Welfare
dr5rqm,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rqt,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rqu,Commercial/Services,Transportation,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
dr5rqv,Transportation,Unknown,Unknown,Unknown,Unknown,Transportation
dr5rqw,Transportation,Residential,Transportation,Transportation,Commercial/Services,Commercial/Services
dr5rqy,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rr0,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rr5,Culture & Leisure,Culture & Leisure,Commercial/Services,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rr6,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rrd,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5rrf,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rrh,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rrr,Residential,Residential,Residential,Transportation,Residential,Residential
dr5rrt,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rru,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rrw,Healthcare & Welfare,Unknown,Healthcare & Welfare,Unknown,Healthcare & Welfare,Unknown
dr5rs0,Residential,Commercial/Services,Healthcare & Welfare,Residential,Commercial/Services,Educational
dr5rs1,Commercial/Services,Commercial/Services,Culture & Leisure,Commercial/Services,Culture & Leisure,Commercial/Services
dr5rs2,Educational,Commercial/Services,Commercial/Services,Educational,Commercial/Services,Commercial/Services
dr5rs3,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rs4,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rs5,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rs6,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rs7,Transportation,Commercial/Services,Transportation,Residential,Commercial/Services,Commercial/Services
dr5rse,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rsf,Residential,Residential,Residential,Residential,Residential,Unknown
dr5rsg,Transportation,Commercial/Services,Transportation,Transportation,Commercial/Services,Commercial/Services
dr5rsh,Commercial/Services,Commercial/Services,Residential,Commercial/Services,Residential,Commercial/Services
dr5rsj,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rsk,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
dr5rsm,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rsn,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rsp,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rsq,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rsr,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rss,Unknown,Residential,Unknown,Unknown,Unknown,Residential
dr5rst,Commercial/Services,Commercial/Services,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services
dr5rsu,Culture & Leisure,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Culture & Leisure
dr5rsw,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rsx,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Commercial/Services
dr5rsy,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5rsz,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rt0,Residential,Residential,Residential,Residential,Residential,Residential
dr5rt3,Transportation,Transportation,Residential,Transportation,Transportation,Transportation
dr5rt4,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rt5,Commercial/Services,Commercial/Services,Residential,Residential,Commercial/Services,Commercial/Services
dr5rt6,Residential,Residential,Residential,Residential,Residential,Residential
dr5rt7,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5rt8,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rt9,Residential,Residential,Commercial/Services,Commercial/Services,Residential,Residential
dr5rtb,Educational,Residential,Residential,Residential,Educational,Educational
dr5rtc,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5rtd,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rtf,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rth,Commercial/Services,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services,Commercial/Services
dr5rtj,Commercial/Services,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services,Commercial/Services
dr5rtk,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Culture & Leisure,Commercial/Services
dr5rtm,Residential,Residential,Unknown,Residential,Unknown,Residential
dr5rtn,Transportation,Healthcare & Welfare,Transportation,Healthcare & Welfare,Transportation,Transportation
dr5rtp,Commercial/Services,Commercial/Services,Unknown,Unknown,Commercial/Services,Commercial/Services
dr5rtq,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rtr,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5rtw,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5ru0,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ru1,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ru2,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ru3,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ru4,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5ru5,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Transportation
dr5ru6,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ru7,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ru8,Healthcare & Welfare,Culture & Leisure,Healthcare & Welfare,Healthcare & Welfare,Culture & Leisure,Residential
dr5ru9,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rub,Transportation,Unknown,Transportation,Transportation,Transportation,Unknown
dr5ruc,Culture & Leisure,Transportation,Transportation,Transportation,Culture & Leisure,Transportation
dr5rud,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Transportation,Transportation
dr5rue,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ruf,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Culture & Leisure,Healthcare & Welfare,Culture & Leisure
dr5rug,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ruh,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ruj,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Unknown
dr5ruk,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rum,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5run,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5ruq,Educational,Culture & Leisure,Educational,Educational,Culture & Leisure,Culture & Leisure
dr5rur,Commercial/Services,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services,Transportation
dr5rus,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rut,Commercial/Services,Culture & Leisure,Transportation,Commercial/Services,Culture & Leisure,Culture & Leisure
dr5ruu,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ruv,Educational,Residential,Educational,Commercial/Services,Transportation,Residential
dr5ruw,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services,Culture & Leisure,Transportation
dr5rux,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ruy,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services,Culture & Leisure,Culture & Leisure
dr5ruz,Healthcare & Welfare,Culture & Leisure,Healthcare & Welfare,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rv0,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
dr5rv1,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Residential
dr5rv3,Commercial/Services,Residential,Commercial/Services,Commercial/Services,Transportation,Residential
dr5rv4,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rv5,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rv6,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rv7,Residential,Residential,Residential,Residential,Residential,Residential
dr5rv9,Educational,Educational,Educational,Educational,Educational,Transportation
dr5rvc,Residential,Residential,Commercial/Services,Commercial/Services,Residential,Residential
dr5rvd,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5rve,Transportation,Transportation,Transportation,Transportation,Residential,Commercial/Services
dr5rvf,Transportation,Commercial/Services,Commercial/Services,Transportation,Unknown,Transportation
dr5rvg,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rvh,Educational,Commercial/Services,Educational,Commercial/Services,Residential,Transportation
dr5rvj,Healthcare & Welfare,Healthcare & Welfare,Educational,Healthcare & Welfare,Healthcare & Welfare,Commercial/Services
dr5rvk,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rvm,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Unknown
dr5rvn,Residential,Commercial/Services,Residential,Commercial/Services,Commercial/Services,Residential
dr5rvp,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rvq,Residential,Culture & Leisure,Residential,Culture & Leisure,Culture & Leisure,Residential
dr5rvr,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5rvs,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare
dr5rvt,Educational,Unknown,Educational,Educational,Educational,Unknown
dr5rvu,Residential,Residential,Transportation,Residential,Residential,Residential
dr5rvv,Transportation,Commercial/Services,Transportation,Transportation,Transportation,Commercial/Services
dr5rvw,Residential,Residential,Residential,Residential,Residential,Residential
dr5rvx,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rvy,Healthcare & Welfare,Commercial/Services,Healthcare & Welfare,Commercial/Services,Healthcare & Welfare,Healthcare & Welfare
dr5rvz,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Residential
dr5rw1,Transportation,Transportation,Unknown,Transportation,Transportation,Transportation
dr5rw2,Residential,Residential,Unknown,Residential,Residential,Residential
dr5rw3,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Unknown
dr5rw6,Transportation,Transportation,Unknown,Transportation,Transportation,Transportation
dr5rw7,Transportation,Transportation,Unknown,Transportation,Transportation,Unknown
dr5rwd,Residential,Residential,Unknown,Residential,Residential,Residential
dr5rws,Residential,Residential,Residential,Residential,Residential,Residential
dr5rww,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Unknown,Unknown
dr5rwx,Healthcare & Welfare,Residential,Healthcare & Welfare,Residential,Residential,Healthcare & Welfare
dr5rwz,Commercial/Services,Transportation,Transportation,Commercial/Services,Transportation,Commercial/Services
dr5rx3,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5rx4,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Unknown
dr5rx5,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare
dr5rx6,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5rx7,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Healthcare & Welfare,Commercial/Services
dr5rx9,Culture & Leisure,Culture & Leisure,Transportation,Transportation,Culture & Leisure,Culture & Leisure
dr5rxc,Residential,Residential,Residential,Residential,Residential,Residential
dr5rxd,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rxe,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services
dr5rxf,Commercial/Services,Commercial/Services,Commercial/Services,Transportation,Transportation,Transportation
dr5rxg,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Transportation,Residential
dr5rxj,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Residential
dr5rxk,Residential,Residential,Residential,Residential,Residential,Residential
dr5rxm,Commercial/Services,Residential,Commercial/Services,Unknown,Unknown,Residential
dr5rxn,Transportation,Commercial/Services,Transportation,Transportation,Transportation,Transportation
dr5rxp,Culture & Leisure,Culture & Leisure,Transportation,Culture & Leisure,Culture & Leisure,Commercial/Services
dr5rxq,Educational,Commercial/Services,Educational,Educational,Commercial/Services,Residential
dr5rxs,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Transportation,Transportation
dr5rxt,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Transportation
dr5rxu,Residential,Residential,Residential,Residential,Residential,Residential
dr5rxv,Residential,Residential,Residential,Residential,Residential,Residential
dr5ry0,Culture & Leisure,Residential,Culture & Leisure,Residential,Residential,Residential
dr5ry1,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5ry2,Healthcare & Welfare,Unknown,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare
dr5ry3,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5ry4,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Residential,Commercial/Services
dr5ry5,Commercial/Services,Healthcare & Welfare,Unknown,Commercial/Services,Commercial/Services,Unknown
dr5ry7,Residential,Residential,Unknown,Commercial/Services,Residential,Residential
dr5ry9,Transportation,Transportation,Transportation,Transportation,Transportation,Residential
dr5ryb,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure
dr5ryc,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown
dr5rye,Residential,Residential,Residential,Residential,Residential,Residential
dr5ryg,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services
dr5ryh,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Healthcare & Welfare,Commercial/Services
dr5ryj,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ryk,Commercial/Services,Commercial/Services,Unknown,Unknown,Commercial/Services,Commercial/Services
dr5rym,Residential,Residential,Residential,Residential,Residential,Residential
dr5ryn,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5ryp,Commercial/Services,Residential,Commercial/Services,Commercial/Services,Commercial/Services,Residential
dr5ryr,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services
dr5rys,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5ryv,Transportation,Unknown,Unknown,Unknown,Transportation,Unknown
dr5ryw,Transportation,Transportation,Unknown,Transportation,Transportation,Unknown
dr5ryy,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rz4,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rz6,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rzd,Transportation,Transportation,Transportation,Unknown,Transportation,Transportation
dr5rze,Culture & Leisure,Culture & Leisure,Transportation,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5rzg,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
dr5rzh,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rzj,Transportation,Transportation,Commercial/Services,Transportation,Transportation,Commercial/Services
dr5rzk,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rzn,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5rzu,Commercial/Services,Commercial/Services,Culture & Leisure,Culture & Leisure,Commercial/Services,Culture & Leisure
dr5rzv,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Unknown
dr5rzx,Residential,Residential,Residential,Residential,Residential,Residential
dr5rzy,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Healthcare & Welfare,Culture & Leisure
dr5wb5,Residential,Residential,Unknown,Residential,Residential,Residential
dr5wbh,Transportation,Unknown,Transportation,Transportation,Transportation,Transportation
dr5wbt,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5wbv,Residential,Residential,Residential,Residential,Residential,Residential
dr5wbw,Residential,Residential,Residential,Residential,Residential,Residential
dr5wby,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5x02,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5x0x,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Unknown,Commercial/Services
dr5x0y,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5x0z,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5x1d,Residential,Residential,Residential,Residential,Residential,Residential
dr5x1p,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5x24,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Commercial/Services
dr5x25,Residential,Residential,Residential,Residential,Residential,Residential
dr5x2e,Residential,Residential,Residential,Residential,Residential,Residential
dr5x2f,Residential,Residential,Residential,Residential,Residential,Residential
dr5x2h,Transportation,Transportation,Transportation,Transportation,Unknown,Transportation
dr5x2k,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5x2p,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Unknown,Unknown
dr5x2s,Transportation,Unknown,Unknown,Transportation,Unknown,Unknown
dr5x2t,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Commercial/Services
dr5x2z,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Culture & Leisure,Unknown
dr5x32,Commercial/Services,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services
dr5x34,Residential,Residential,Residential,Residential,Residential,Residential
dr5x36,Residential,Unknown,Residential,Unknown,Unknown,Residential
dr5x3c,Residential,Residential,Residential,Unknown,Residential,Residential
dr5x3k,Commercial/Services,Unknown,Commercial/Services,Unknown,Commercial/Services,Unknown
dr5x3m,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5x3p,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5x3r,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5x3t,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5x3u,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5x3v,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5x61,Transportation,Transportation,Transportation,Transportation,Unknown,Unknown
dr5x66,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5x6h,Educational,Residential,Residential,Commercial/Services,Commercial/Services,Commercial/Services
dr5x6k,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5x6m,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5x6p,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Culture & Leisure
dr5x6q,Residential,Residential,Unknown,Residential,Residential,Residential
dr5x6w,Commercial/Services,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Commercial/Services
dr5x81,Healthcare & Welfare,Healthcare & Welfare,Unknown,Healthcare & Welfare,Healthcare & Welfare,Unknown
dr5x82,Transportation,Residential,Transportation,Transportation,Transportation,Residential
dr5x83,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5x84,Transportation,Commercial/Services,Commercial/Services,Transportation,Residential,Residential
dr5x87,Residential,Residential,Unknown,Residential,Residential,Residential
dr5x89,Transportation,Transportation,Transportation,Educational,Transportation,Culture & Leisure
dr5x8c,Commercial/Services,Commercial/Services,Transportation,Commercial/Services,Commercial/Services,Commercial/Services
dr5x8d,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Transportation,Commercial/Services
dr5x8f,Commercial/Services,Commercial/Services,Commercial/Services,Healthcare & Welfare,Commercial/Services,Commercial/Services
dr5x8g,Transportation,Transportation,Transportation,Transportation,Transportation,Transportation
dr5x8h,Transportation,Unknown,Unknown,Unknown,Transportation,Unknown
dr5x8p,Educational,Educational,Educational,Educational,Educational,Unknown
dr5x8r,Residential,Residential,Residential,Residential,Residential,Residential
dr5x8t,Educational,Residential,Residential,Educational,Residential,Residential
dr5x8v,Educational,Educational,Educational,Educational,Educational,Commercial/Services
dr5x8x,Commercial/Services,Unknown,Unknown,Commercial/Services,Commercial/Services,Unknown
dr5x90,Commercial/Services,Culture & Leisure,Commercial/Services,Commercial/Services,Culture & Leisure,Commercial/Services
dr5x91,Residential,Residential,Unknown,Unknown,Residential,Residential
dr5x93,Commercial/Services,Unknown,Commercial/Services,Commercial/Services,Unknown,Unknown
dr5x94,Transportation,Transportation,Educational,Transportation,Transportation,Transportation
dr5x95,Transportation,Unknown,Transportation,Transportation,Unknown,Unknown
dr5x9f,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services,Commercial/Services
dr5x9v,Residential,Residential,Residential,Residential,Residential,Residential
dr5xb2,Transportation,Transportation,Transportation,Transportation,Transportation,Unknown
dr5xb3,Culture & Leisure,Culture & Leisure,Unknown,Culture & Leisure,Culture & Leisure,Unknown
dr5xb5,Commercial/Services,Unknown,Unknown,Unknown,Commercial/Services,Unknown
